Code,Name,Amount
A.08.06.006,"Acidophilus milk",2.9487
A.02.05.022,"Alfalfa sprouts",0.0127
A.18.02.011,"Red algae",0.0019
I.12.04.011,"Multivitamin juices",5.646
A.05.02.001,"Apples",45.0622
A.05.03.001,"Apricots",0.0482
A.16.01,"Bouquet garni",0.0037
A.01.05.004,"Asian-style noodles other than glass noodles",0.7342
A.02.07.001,"Stems/stalks eaten as vegetables",0.056
A.02.03.004,"Aubergines",0.0183
A.05.06.014,"Avocados",0.1623
A.06.08.007,"Bacon",0.6011
A.16.05.007,"Barbecue or steak sauces",0.0085
A.16.01.009,"Basil",0.0002
I.19.04.001.002,"Beans and vegetables meal",0.0139
I.16.08.001.004,"White sauces",2.6029
A.02.01.002,"Root and tuber vegetables (excluding starchy- and sugar-)",0.1399
A.05.04.003,"Wild strawberries",2.5802
A.01.07.002.003,"Biscuit with inclusions, filling or coating",1.1415
A.01.07.002.007,"Biscuits",2.0496
A.01.07.002.010,"Biscuits, oat meal",0.0266
A.01.07.002.001,"Biscuits, sweet, plain",0.8123
A.01.07.002.009,"Biscuits, sweet, wheat wholemeal",0.4579
A.10.03.001,"Bitter chocolate",0.0119
A.02.01.005,"Wasabi roots",0.0042
A.05.04.004,"Blackberries and similar-",0.0177
A.11.05,"Functional vegetable margarines/fats",0.0181
A.11.06.001,"Traditional margarine",5.422
A.06.09.003.001,"Blood-type sausage",1.4155
A.07.05.007,"Mussels",0.0132
A.05.04.008,"Blueberries",0.0662
A.04.02.001,"Yardlong beans (with pods)",0.4446
A.19.10.005,"Fish soup",0.521
A.06.05.001,"Bovine and pig, minced meat",3.7854
A.06.01.001,"Cow, ox or bull fresh meat",8.4521
A.01.04.001.001,"Wheat bread and rolls, white (refined flour)",13.7809
A.01.04.007.001,"Breadcrumbs",0.0081
A.06.09.004.001,"Breakfast-type sausage",0.5102
A.16.08.002,"Continental european brown cooked sauce, gravy",5.6442
A.02.04.001,"Broccoli",1.3152
A.10.01.002,"Brown sugar",0.0015
A.02.04.003,"Brussels sprouts",0.0148
A.01.02.006,"Buckwheat and other pseudo-cereals and similar-",0.0136
A.01.02.001.004,"Bulgur",0.0511
A.01.07.001.002,"Yeast leavened sweet doughs",10.7445
A.11.01.001,"Milk fat from other animals",5.4224
