SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,ES,0.698,0.06,0
01371,"Almonds, in shell",Nuts,US,0.282,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.02,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,IN,0.248,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,ES,0.382,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,SY,0.226,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.144,0.07,0
01341,Apples,Fruits,IT,0.117,0.07,0
01341,Apples,Fruits,ES,0.62,0.07,0
01341,Apples,Fruits,RoW,0.263,0.07,0
01343,Apricots,Fruits,ES,0.907,0.07,0
01343,Apricots,Fruits,RoW,0.093,0.07,0
01379.01,Areca nuts,Nuts,RoW,1,0.06,0
01216,Artichokes,Vegetables,ES,1,0.07,0
01211,Asparagus,Vegetables,PE,0.128,0.07,0
01211,Asparagus,Vegetables,ES,0.841,0.07,0
01211,Asparagus,Vegetables,RoW,0.031,0.07,0
01311,Avocados,Vegetables,PE,0.265,0.07,0
01311,Avocados,Vegetables,ES,0.635,0.07,0
01311,Avocados,Vegetables,RoW,0.1,0.07,0
01312,Bananas,Fruits,ES,0.672,0.07,0
01312,Bananas,Fruits,RoW,0.328,0.07,0
0115,"Barley, average","Cereals, incl feed",ES,0.958,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.042,0.045,0
01701,"Beans, dry",Pulses,AR,0.247,0.06,0
01701,"Beans, dry",Pulses,ES,0.17,0.06,0
01701,"Beans, dry",Pulses,US,0.132,0.06,0
01701,"Beans, dry",Pulses,RoW,0.451,0.06,0
01355.01,Blueberries,Berries,MA,0.176,0.07,0
01355.01,Blueberries,Berries,ES,0.816,0.07,0
01355.01,Blueberries,Berries,RoW,0.008,0.07,0
01377,"Brazil nuts, in shell",Nuts,ES,0.698,0.06,0
01377,"Brazil nuts, in shell",Nuts,US,0.282,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.02,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",ES,0.853,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.147,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,ES,0.853,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,0.147,0.07,0
01192,Buckwheat,Seeds,CN,0.365,0.06,0
01192,Buckwheat,Seeds,LT,0.134,0.06,0
01192,Buckwheat,Seeds,NP,0.123,0.06,0
01192,Buckwheat,Seeds,PL,0.206,0.06,0
01192,Buckwheat,Seeds,RoW,0.172,0.06,0
01212,Cabbages,Vegetables,ES,0.951,0.07,0
01212,Cabbages,Vegetables,RoW,0.049,0.07,0
01195,Canary seed,Nuts,CA,0.952,0.06,0
01195,Canary seed,Nuts,RoW,0.048,0.06,0
01229,Cantaloupes and other melons,Fruits,ES,0.93,0.07,0
01229,Cantaloupes and other melons,Fruits,RoW,0.07,0.07,0
01251,Carrots and turnips,Vegetables,ES,0.957,0.07,0
01251,Carrots and turnips,Vegetables,RoW,0.043,0.07,0
01372,"Cashew nuts, in shell",Nuts,GH,0.101,0.06,0
01372,"Cashew nuts, in shell",Nuts,IN,0.399,0.06,0
01372,"Cashew nuts, in shell",Nuts,CI,0.205,0.06,0
01372,"Cashew nuts, in shell",Nuts,RoW,0.295,0.06,0
01520.01,"Cassava, fresh",Vegetables,CR,0.655,0.07,0
01520.01,"Cassava, fresh",Vegetables,TH,0.218,0.07,0
01520.01,"Cassava, fresh",Vegetables,RoW,0.127,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,ES,0.93,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.07,0.07,0
01199.90,Cereals n.e.c.,Cereals,ES,0.882,0.045,0
01199.90,Cereals n.e.c.,Cereals,RoW,0.118,0.045,0
01344.02,Cherries,Berries,ES,0.991,0.07,0
01344.02,Cherries,Berries,RoW,0.009,0.07,0
01373,"Chestnuts, in shell",Nuts,ES,0.851,0.06,0
01373,"Chestnuts, in shell",Nuts,RoW,0.149,0.06,0
01703,"Chick peas, dry",Pulses,MX,0.387,0.06,0
01703,"Chick peas, dry",Pulses,ES,0.259,0.06,0
01703,"Chick peas, dry",Pulses,US,0.156,0.06,0
01703,"Chick peas, dry",Pulses,RoW,0.198,0.06,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,ES,0.971,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,RoW,0.029,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,ES,0.971,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.029,0.07,0
01640,Cocoa beans,Stimulants,GH,0.237,0.07,0
01640,Cocoa beans,Stimulants,CI,0.383,0.07,0
01640,Cocoa beans,Stimulants,NG,0.126,0.07,0
01640,Cocoa beans,Stimulants,RoW,0.253,0.07,0
01460,"Coconut, in shell",Nuts,PH,0.827,0.06,0
01460,"Coconut, in shell",Nuts,RoW,0.173,0.06,0
01610,"Coffee, green",Stimulants,BR,0.38,0.07,0
01610,"Coffee, green",Stimulants,CO,0.103,0.07,0
01610,"Coffee, green",Stimulants,RoW,0.516,0.07,0
01355.02,Cranberries,Berries,RoW,1,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,ES,0.993,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.007,0.07,0
01351.01,Currants,Berries,ES,0.907,0.07,0
01351.01,Currants,Berries,RoW,0.093,0.07,0
01314,Dates,Fruits,IL,0.135,0.07,0
01314,Dates,Fruits,ES,0.335,0.07,0
01314,Dates,Fruits,TN,0.451,0.07,0
01314,Dates,Fruits,RoW,0.08,0.07,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,ES,0.639,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,TG,0.105,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.256,0.24,0
01233,Eggplants (aubergines),Vegetables,ES,0.997,0.07,0
01233,Eggplants (aubergines),Vegetables,RoW,0.003,0.07,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RoW,1,0.017,0
01315,Figs,Fruits,ES,0.825,0.07,0
01315,Figs,Fruits,TR,0.17,0.07,0
01315,Figs,Fruits,RoW,0.004,0.07,0
01193,Fonio,Cereals,RoW,1,0.045,0
21170.02,"game meat, fresh, chilled or frozen",Meat,ES,0.953,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,RoW,0.047,0.057,0
01351.02,Gooseberries,Berries,ES,1,0.07,0
01330,Grapes,Fruits,ES,0.973,0.07,0
01330,Grapes,Fruits,RoW,0.027,0.07,0
01290.01,Green corn (maize),Vegetables,RoW,1,0.07,0
01252,Green garlic,Vegetables,ES,0.967,0.07,0
01252,Green garlic,Vegetables,RoW,0.033,0.07,0
0142,"Groundnuts, excluding shelled",Nuts,ES,0.698,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,US,0.282,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,RoW,0.02,0.06,0
01374,"Hazelnuts, in shell",Nuts,ES,0.705,0.06,0
01374,"Hazelnuts, in shell",Nuts,TR,0.219,0.06,0
01374,"Hazelnuts, in shell",Nuts,RoW,0.076,0.06,0
0231,"hen eggs in shell, fresh",Dairy,ES,0.96,0.017,0
0231,"hen eggs in shell, fresh",Dairy,RoW,0.04,0.017,0
21118.01,"horse meat, fresh or chilled",Meat,ES,0.973,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,RoW,0.027,0.057,0
01352,Kiwi fruit,Fruits,CL,0.137,0.07,0
01352,Kiwi fruit,Fruits,IT,0.249,0.07,0
01352,Kiwi fruit,Fruits,NZ,0.363,0.07,0
01352,Kiwi fruit,Fruits,ES,0.138,0.07,0
01352,Kiwi fruit,Fruits,RoW,0.112,0.07,0
01379.02,Kola nuts,Nuts,CI,0.954,0.06,0
01379.02,Kola nuts,Nuts,RoW,0.046,0.06,0
01254,Leeks and other alliaceous vegetables,Vegetables,ES,0.908,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.092,0.07,0
01322,Lemons and limes,Fruits,ES,0.927,0.07,0
01322,Lemons and limes,Fruits,RoW,0.073,0.07,0
01704,"Lentils, dry (organic)",Pulses,CA,0.407,0.06,0
01704,"Lentils, dry (organic)",Pulses,ES,0.238,0.06,0
01704,"Lentils, dry (organic)",Pulses,US,0.337,0.06,0
01704,"Lentils, dry (organic)",Pulses,RoW,0.018,0.06,0
01214,Lettuce and chicory,Vegetables,ES,0.984,0.07,0
01214,Lettuce and chicory,Vegetables,RoW,0.016,0.07,0
01441,Linseed,Seeds,CA,0.295,0.06,0
01441,Linseed,Seeds,KZ,0.144,0.06,0
01441,Linseed,Seeds,RU,0.397,0.06,0
01441,Linseed,Seeds,RoW,0.164,0.06,0
01709.02,Lupins,Pulses,ES,0.853,0.06,0
01709.02,Lupins,Pulses,RoW,0.147,0.06,0
0112,Maize (corn),"Cereals, incl feed",FR,0.131,0.045,0
0112,Maize (corn),"Cereals, incl feed",ES,0.452,0.045,0
0112,Maize (corn),"Cereals, incl feed",UA,0.228,0.045,0
0112,Maize (corn),"Cereals, incl feed",RoW,0.189,0.045,0
01316,"Mangoes, guavas and mangosteens",Fruits,BR,0.669,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PE,0.213,0.07,0
