SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,ES,0.274,0.06,0
01371,"Almonds, in shell",Nuts,US,0.584,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.142,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,IN,0.175,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,SY,0.302,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.523,0.07,0
01341,Apples,Fruits,FR,0.807,0.07,0
01341,Apples,Fruits,RoW,0.193,0.07,0
01343,Apricots,Fruits,FR,0.648,0.07,0
01343,Apricots,Fruits,TR,0.248,0.07,0
01343,Apricots,Fruits,RoW,0.104,0.07,0
01379.01,Areca nuts,Nuts,IN,0.845,0.06,0
01379.01,Areca nuts,Nuts,TH,0.119,0.06,0
01379.01,Areca nuts,Nuts,RoW,0.036,0.06,0
01216,Artichokes,Vegetables,FR,0.711,0.07,0
01216,Artichokes,Vegetables,ES,0.23,0.07,0
01216,Artichokes,Vegetables,RoW,0.059,0.07,0
01211,Asparagus,Vegetables,FR,0.578,0.07,0
01211,Asparagus,Vegetables,ES,0.194,0.07,0
01211,Asparagus,Vegetables,RoW,0.227,0.07,0
01311,Avocados,Vegetables,CL,0.131,0.07,0
01311,Avocados,Vegetables,IL,0.165,0.07,0
01311,Avocados,Vegetables,PE,0.253,0.07,0
01311,Avocados,Vegetables,ES,0.208,0.07,0
01311,Avocados,Vegetables,RoW,0.242,0.07,0
01312,Bananas,Fruits,CM,0.2,0.07,0
01312,Bananas,Fruits,CO,0.13,0.07,0
01312,Bananas,Fruits,CI,0.228,0.07,0
01312,Bananas,Fruits,SR,0.139,0.07,0
01312,Bananas,Fruits,RoW,0.302,0.07,0
0115,"Barley, average","Cereals, incl feed",FR,0.987,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.013,0.045,0
