SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,HU,0.14,0.06,0
01371,"Almonds, in shell",Nuts,ES,0.171,0.06,0
01371,"Almonds, in shell",Nuts,US,0.613,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.076,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,HU,0.887,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.113,0.07,0
01341,Apples,Fruits,HU,0.934,0.07,0
01341,Apples,Fruits,RoW,0.066,0.07,0
01343,Apricots,Fruits,HU,0.882,0.07,0
01343,Apricots,Fruits,RoW,0.118,0.07,0
01379.01,Areca nuts,Nuts,RoW,1,0.06,0
01216,Artichokes,Vegetables,FR,0.628,0.07,0
01216,Artichokes,Vegetables,GR,0.359,0.07,0
01216,Artichokes,Vegetables,RoW,0.014,0.07,0
01211,Asparagus,Vegetables,HU,0.993,0.07,0
01211,Asparagus,Vegetables,RoW,0.007,0.07,0
01311,Avocados,Vegetables,CL,0.155,0.07,0
01311,Avocados,Vegetables,PE,0.291,0.07,0
01311,Avocados,Vegetables,ZA,0.13,0.07,0
01311,Avocados,Vegetables,ES,0.234,0.07,0
01311,Avocados,Vegetables,RoW,0.189,0.07,0
01312,Bananas,Fruits,CO,0.271,0.07,0
01312,Bananas,Fruits,CR,0.128,0.07,0
01312,Bananas,Fruits,EC,0.256,0.07,0
01312,Bananas,Fruits,RoW,0.345,0.07,0
0115,"Barley, average","Cereals, incl feed",HU,0.876,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.124,0.045,0
01701,"Beans, dry",Pulses,CA,0.105,0.06,0
01701,"Beans, dry",Pulses,US,0.296,0.06,0
01701,"Beans, dry",Pulses,ET,0.132,0.06,0
01701,"Beans, dry",Pulses,RoW,0.466,0.06,0
01355.01,Blueberries,Berries,RO,0.753,0.07,0
01355.01,Blueberries,Berries,RoW,0.247,0.07,0
01377,"Brazil nuts, in shell",Nuts,HU,0.14,0.06,0
01377,"Brazil nuts, in shell",Nuts,ES,0.171,0.06,0
01377,"Brazil nuts, in shell",Nuts,US,0.613,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.076,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",HU,0.962,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.038,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,HU,0.962,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,0.038,0.07,0
01192,Buckwheat,Seeds,RoW,1,0.06,0
01212,Cabbages,Vegetables,HU,0.918,0.07,0
01212,Cabbages,Vegetables,RoW,0.082,0.07,0
01195,Canary seed,Nuts,CA,0.252,0.06,0
01195,Canary seed,Nuts,HU,0.747,0.06,0
01195,Canary seed,Nuts,RoW,0.001,0.06,0
01229,Cantaloupes and other melons,Fruits,HU,0.956,0.07,0
