SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,US,0.792,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.208,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,IN,0.571,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.429,0.07,0
01341,Apples,Fruits,FR,0.165,0.07,0
01341,Apples,Fruits,IE,0.139,0.07,0
01341,Apples,Fruits,RoW,0.696,0.07,0
01343,Apricots,Fruits,ES,0.113,0.07,0
01343,Apricots,Fruits,TR,0.77,0.07,0
01343,Apricots,Fruits,RoW,0.118,0.07,0
01379.01,Areca nuts,Nuts,IN,0.101,0.06,0
01379.01,Areca nuts,Nuts,TH,0.818,0.06,0
01379.01,Areca nuts,Nuts,RoW,0.081,0.06,0
01216,Artichokes,Vegetables,TR,1,0.07,0
01211,Asparagus,Vegetables,PE,0.46,0.07,0
01211,Asparagus,Vegetables,ES,0.149,0.07,0
01211,Asparagus,Vegetables,RoW,0.391,0.07,0
01311,Avocados,Vegetables,CL,0.204,0.07,0
01311,Avocados,Vegetables,IL,0.13,0.07,0
01311,Avocados,Vegetables,PE,0.265,0.07,0
01311,Avocados,Vegetables,ZA,0.216,0.07,0
01311,Avocados,Vegetables,RoW,0.186,0.07,0
01312,Bananas,Fruits,RoW,1,0.07,0
0115,"Barley, average","Cereals, incl feed",IE,0.78,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.22,0.045,0
01701,"Beans, dry",Pulses,IE,0.854,0.06,0
01701,"Beans, dry",Pulses,RoW,0.146,0.06,0
01355.01,Blueberries,Berries,MA,0.129,0.07,0
01355.01,Blueberries,Berries,ES,0.581,0.07,0
01355.01,Blueberries,Berries,RoW,0.29,0.07,0
01377,"Brazil nuts, in shell",Nuts,US,0.792,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.208,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",DE,0.867,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.133,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,DE,0.867,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,0.133,0.07,0
01192,Buckwheat,Seeds,LT,0.512,0.06,0
01192,Buckwheat,Seeds,PL,0.206,0.06,0
01192,Buckwheat,Seeds,RU,0.112,0.06,0
01192,Buckwheat,Seeds,RoW,0.17,0.06,0
01212,Cabbages,Vegetables,IE,0.634,0.07,0
01212,Cabbages,Vegetables,GB,0.169,0.07,0
01212,Cabbages,Vegetables,RoW,0.197,0.07,0
01195,Canary seed,Nuts,CA,0.986,0.06,0
01195,Canary seed,Nuts,RoW,0.014,0.06,0
01229,Cantaloupes and other melons,Fruits,BR,0.465,0.07,0
01229,Cantaloupes and other melons,Fruits,CR,0.103,0.07,0
01229,Cantaloupes and other melons,Fruits,ES,0.333,0.07,0
01229,Cantaloupes and other melons,Fruits,RoW,0.099,0.07,0
01251,Carrots and turnips,Vegetables,IE,0.675,0.07,0
01251,Carrots and turnips,Vegetables,GB,0.165,0.07,0
01251,Carrots and turnips,Vegetables,RoW,0.159,0.07,0
01372,"Cashew nuts, in shell",Nuts,GH,0.105,0.06,0
01372,"Cashew nuts, in shell",Nuts,IN,0.237,0.06,0
01372,"Cashew nuts, in shell",Nuts,CI,0.317,0.06,0
01372,"Cashew nuts, in shell",Nuts,RoW,0.34,0.06,0
01520.01,"Cassava, fresh",Vegetables,RoW,1,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,BR,0.465,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,CR,0.103,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,ES,0.333,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.099,0.07,0
01199.90,Cereals n.e.c.,Cereals,GB,0.826,0.045,0
01199.90,Cereals n.e.c.,Cereals,RoW,0.174,0.045,0
01344.02,Cherries,Berries,ES,0.354,0.07,0
01344.02,Cherries,Berries,TR,0.149,0.07,0
01344.02,Cherries,Berries,RoW,0.497,0.07,0
01373,"Chestnuts, in shell",Nuts,CN,0.39,0.06,0
01373,"Chestnuts, in shell",Nuts,IT,0.253,0.06,0
01373,"Chestnuts, in shell",Nuts,RoW,0.357,0.06,0
01703,"Chick peas, dry",Pulses,AR,0.14,0.06,0
01703,"Chick peas, dry",Pulses,AU,0.292,0.06,0
01703,"Chick peas, dry",Pulses,CA,0.145,0.06,0
01703,"Chick peas, dry",Pulses,IN,0.127,0.06,0
01703,"Chick peas, dry",Pulses,RoW,0.297,0.06,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,NL,0.51,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,ES,0.331,0.07,0
