SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,IT,0.686,0.06,0
01371,"Almonds, in shell",Nuts,US,0.226,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.088,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,1,0.07,0
01341,Apples,Fruits,IT,0.956,0.07,0
01341,Apples,Fruits,RoW,0.044,0.07,0
01343,Apricots,Fruits,IT,0.834,0.07,0
01343,Apricots,Fruits,RoW,0.166,0.07,0
01379.01,Areca nuts,Nuts,RoW,1,0.06,0
01216,Artichokes,Vegetables,IT,0.974,0.07,0
01216,Artichokes,Vegetables,RoW,0.026,0.07,0
01211,Asparagus,Vegetables,IT,0.908,0.07,0
01211,Asparagus,Vegetables,RoW,0.092,0.07,0
01311,Avocados,Vegetables,CL,0.135,0.07,0
01311,Avocados,Vegetables,IL,0.283,0.07,0
01311,Avocados,Vegetables,PE,0.245,0.07,0
01311,Avocados,Vegetables,ZA,0.111,0.07,0
01311,Avocados,Vegetables,ES,0.143,0.07,0
01311,Avocados,Vegetables,RoW,0.084,0.07,0
01312,Bananas,Fruits,CO,0.257,0.07,0
01312,Bananas,Fruits,CR,0.258,0.07,0
01312,Bananas,Fruits,EC,0.345,0.07,0
01312,Bananas,Fruits,RoW,0.14,0.07,0
0115,"Barley, average","Cereals, incl feed",FR,0.249,0.045,0
0115,"Barley, average","Cereals, incl feed",DE,0.102,0.045,0
0115,"Barley, average","Cereals, incl feed",IT,0.49,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.158,0.045,0
01701,"Beans, dry",Pulses,CA,0.164,0.06,0
01701,"Beans, dry",Pulses,US,0.156,0.06,0
01701,"Beans, dry",Pulses,RoW,0.68,0.06,0
01355.01,Blueberries,Berries,IT,0.42,0.07,0
01355.01,Blueberries,Berries,ES,0.25,0.07,0
01355.01,Blueberries,Berries,RoW,0.329,0.07,0
01377,"Brazil nuts, in shell",Nuts,IT,0.686,0.06,0
01377,"Brazil nuts, in shell",Nuts,US,0.226,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.088,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",IT,0.788,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.212,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,IT,0.788,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,0.212,0.07,0
01192,Buckwheat,Seeds,PL,0.656,0.06,0
01192,Buckwheat,Seeds,RoW,0.344,0.06,0
01212,Cabbages,Vegetables,IT,0.938,0.07,0
01212,Cabbages,Vegetables,RoW,0.062,0.07,0
01195,Canary seed,Nuts,CA,0.942,0.06,0
01195,Canary seed,Nuts,RoW,0.058,0.06,0
01229,Cantaloupes and other melons,Fruits,IT,0.949,0.07,0
01229,Cantaloupes and other melons,Fruits,RoW,0.051,0.07,0
01251,Carrots and turnips,Vegetables,IT,0.972,0.07,0
01251,Carrots and turnips,Vegetables,RoW,0.028,0.07,0
01372,"Cashew nuts, in shell",Nuts,BR,0.162,0.06,0
01372,"Cashew nuts, in shell",Nuts,GH,0.11,0.06,0
01372,"Cashew nuts, in shell",Nuts,IN,0.172,0.06,0
01372,"Cashew nuts, in shell",Nuts,CI,0.296,0.06,0
01372,"Cashew nuts, in shell",Nuts,RoW,0.259,0.06,0
01520.01,"Cassava, fresh",Vegetables,CR,0.428,0.07,0
01520.01,"Cassava, fresh",Vegetables,TH,0.438,0.07,0
01520.01,"Cassava, fresh",Vegetables,RoW,0.134,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,IT,0.949,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.051,0.07,0
01199.90,Cereals n.e.c.,Cereals,LV,0.803,0.045,0
01199.90,Cereals n.e.c.,Cereals,RoW,0.197,0.045,0
01344.02,Cherries,Berries,IT,0.94,0.07,0
01344.02,Cherries,Berries,RoW,0.06,0.07,0
01373,"Chestnuts, in shell",Nuts,IT,0.628,0.06,0
01373,"Chestnuts, in shell",Nuts,PL,0.107,0.06,0
01373,"Chestnuts, in shell",Nuts,ES,0.122,0.06,0
01373,"Chestnuts, in shell",Nuts,RoW,0.142,0.06,0
01703,"Chick peas, dry",Pulses,AR,0.253,0.06,0
01703,"Chick peas, dry",Pulses,IT,0.323,0.06,0
01703,"Chick peas, dry",Pulses,MX,0.152,0.06,0
01703,"Chick peas, dry",Pulses,RoW,0.272,0.06,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,IT,0.809,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,ES,0.16,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,RoW,0.031,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,IT,0.809,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,ES,0.16,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.031,0.07,0
01640,Cocoa beans,Stimulants,GH,0.223,0.07,0
01640,Cocoa beans,Stimulants,CI,0.496,0.07,0
01640,Cocoa beans,Stimulants,RoW,0.282,0.07,0
01460,"Coconut, in shell",Nuts,PH,0.81,0.06,0
01460,"Coconut, in shell",Nuts,RoW,0.19,0.06,0
01610,"Coffee, green",Stimulants,BR,0.41,0.07,0
01610,"Coffee, green",Stimulants,IN,0.137,0.07,0
01610,"Coffee, green",Stimulants,ID,0.107,0.07,0
01610,"Coffee, green",Stimulants,RoW,0.345,0.07,0
01355.02,Cranberries,Berries,RoW,1,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,IT,0.814,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,ES,0.129,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.057,0.07,0
01351.01,Currants,Berries,AT,0.121,0.07,0
01351.01,Currants,Berries,FR,0.131,0.07,0
01351.01,Currants,Berries,DE,0.179,0.07,0
01351.01,Currants,Berries,IT,0.226,0.07,0
01351.01,Currants,Berries,PL,0.121,0.07,0
01351.01,Currants,Berries,RoW,0.223,0.07,0
01314,Dates,Fruits,TN,0.862,0.07,0
01314,Dates,Fruits,RoW,0.138,0.07,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,CN,0.128,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,FR,0.265,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,CI,0.151,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,NI,0.104,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,TG,0.106,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.246,0.24,0
01233,Eggplants (aubergines),Vegetables,IT,0.945,0.07,0
01233,Eggplants (aubergines),Vegetables,RoW,0.055,0.07,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,PL,0.191,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,ES,0.214,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,GB,0.284,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RoW,0.311,0.017,0
01315,Figs,Fruits,GR,0.119,0.07,0
01315,Figs,Fruits,IT,0.424,0.07,0
01315,Figs,Fruits,TR,0.444,0.07,0
01315,Figs,Fruits,RoW,0.013,0.07,0
01193,Fonio,Cereals,GN,0.685,0.045,0
01193,Fonio,Cereals,ML,0.313,0.045,0
01193,Fonio,Cereals,RoW,0.002,0.045,0
21170.02,"game meat, fresh, chilled or frozen",Meat,DE,0.544,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,NZ,0.146,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,ES,0.109,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,RoW,0.201,0.057,0
01351.02,Gooseberries,Berries,RoW,1,0.07,0
01330,Grapes,Fruits,IT,0.958,0.07,0
01330,Grapes,Fruits,RoW,0.042,0.07,0
01290.01,Green corn (maize),Vegetables,FR,0.557,0.07,0
01290.01,Green corn (maize),Vegetables,HU,0.389,0.07,0
01290.01,Green corn (maize),Vegetables,RoW,0.054,0.07,0
01252,Green garlic,Vegetables,IT,0.51,0.07,0
01252,Green garlic,Vegetables,ES,0.326,0.07,0
01252,Green garlic,Vegetables,RoW,0.164,0.07,0
0142,"Groundnuts, excluding shelled",Nuts,IT,0.686,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,US,0.226,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,RoW,0.088,0.06,0
01374,"Hazelnuts, in shell",Nuts,IT,0.718,0.06,0
01374,"Hazelnuts, in shell",Nuts,TR,0.206,0.06,0
01374,"Hazelnuts, in shell",Nuts,RoW,0.077,0.06,0
0231,"hen eggs in shell, fresh",Dairy,IT,0.87,0.017,0
0231,"hen eggs in shell, fresh",Dairy,RoW,0.13,0.017,0
21118.01,"horse meat, fresh or chilled",Meat,IT,0.384,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,ES,0.116,0.057,0
21118.01,"horse meat, fresh or chilled",Meat,RoW,0.5,0.057,0
01352,Kiwi fruit,Fruits,IT,0.912,0.07,0
01352,Kiwi fruit,Fruits,RoW,0.088,0.07,0
01379.02,Kola nuts,Nuts,RoW,1,0.06,0
01254,Leeks and other alliaceous vegetables,Vegetables,FR,0.102,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,IT,0.409,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,NL,0.199,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,BE,0.115,0.07,0
01254,Leeks and other alliaceous vegetables,Vegetables,RoW,0.175,0.07,0
01322,Lemons and limes,Fruits,AR,0.111,0.07,0
01322,Lemons and limes,Fruits,IT,0.764,0.07,0
01322,Lemons and limes,Fruits,RoW,0.125,0.07,0
01704,"Lentils, dry (organic)",Pulses,CA,0.666,0.06,0
01704,"Lentils, dry (organic)",Pulses,US,0.199,0.06,0
01704,"Lentils, dry (organic)",Pulses,RoW,0.135,0.06,0
01214,Lettuce and chicory,Vegetables,IT,0.888,0.07,0
01214,Lettuce and chicory,Vegetables,RoW,0.112,0.07,0
01441,Linseed,Seeds,CA,0.143,0.06,0
01441,Linseed,Seeds,KZ,0.108,0.06,0
01441,Linseed,Seeds,RU,0.585,0.06,0
01441,Linseed,Seeds,RoW,0.164,0.06,0
01709.02,Lupins,Pulses,IT,0.788,0.06,0
01709.02,Lupins,Pulses,RoW,0.212,0.06,0
0112,Maize (corn),"Cereals, incl feed",IT,0.656,0.045,0
0112,Maize (corn),"Cereals, incl feed",UA,0.1,0.045,0
0112,Maize (corn),"Cereals, incl feed",RoW,0.243,0.045,0
01316,"Mangoes, guavas and mangosteens",Fruits,BR,0.357,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,PE,0.243,0.07,0
01316,"Mangoes, guavas and mangosteens",Fruits,RoW,0.4,0.07,0
01630,Maté leaves,Stimulants,AR,0.605,0.07,0
01630,Maté leaves,Stimulants,BR,0.38,0.07,0
01630,Maté leaves,Stimulants,RoW,0.015,0.07,0
21118.02,"meat of asses, fresh or chilled",Meat,RoW,1,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,IT,0.697,0.057,0
21111.02,"meat of cattle with the bone, fresh or chilled",Meat,RoW,0.303,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,IT,0.93,0.057,0
21121,"meat of chickens, fresh or chilled",Meat,RoW,0.07,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,FR,0.339,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,HU,0.559,0.057,0
21122,"meat of ducks, fresh or chilled",Meat,RoW,0.102,0.057,0
21123,"meat of geese, fresh or chilled",Meat,HU,0.752,0.057,0
21123,"meat of geese, fresh or chilled",Meat,IT,0.154,0.057,0
21123,"meat of geese, fresh or chilled",Meat,RoW,0.094,0.057,0
21116,"meat of goat, fresh or chilled",Meat,FR,0.302,0.057,0
21116,"meat of goat, fresh or chilled",Meat,GR,0.11,0.057,0
21116,"meat of goat, fresh or chilled",Meat,IT,0.509,0.057,0
21116,"meat of goat, fresh or chilled",Meat,RoW,0.079,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,IT,0.954,0.057,0
21114,"meat of rabbits and hares, fresh or chilled",Meat,RoW,0.046,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,IT,0.593,0.057,0
21115,"meat of sheep, fresh or chilled",Meat,RoW,0.407,0.057,0
21124,"meat of turkeys, fresh or chilled",Meat,IT,0.967,0.057,0
21124,"meat of turkeys, fresh or chilled",Meat,RoW,0.033,0.057,0
0118,Millet,Cereals,FR,0.19,0.045,0
0118,Millet,Cereals,IN,0.155,0.045,0
0118,Millet,Cereals,RU,0.164,0.045,0
0118,Millet,Cereals,UA,0.169,0.045,0
0118,Millet,Cereals,RoW,0.322,0.045,0
01199.02,Mixed grain,Cereals,LV,0.803,0.045,0
01199.02,Mixed grain,Cereals,RoW,0.197,0.045,0
01270,Mushrooms and truffles,Mushrooms,IT,0.568,0.07,0
01270,Mushrooms and truffles,Mushrooms,ES,0.102,0.07,0
01270,Mushrooms and truffles,Mushrooms,RoW,0.331,0.07,0
01442,Mustard seed,Seeds,CA,0.377,0.06,0
01442,Mustard seed,Seeds,FR,0.136,0.06,0
01442,Mustard seed,Seeds,UA,0.131,0.06,0
01442,Mustard seed,Seeds,RoW,0.356,0.06,0
02910,natural honey,Other,HU,0.299,0.06,0
02910,natural honey,Other,IT,0.34,0.06,0
02910,natural honey,Other,RoW,0.362,0.06,0
01653,"nutmeg, mace, cardamoms, raw",Spices,ID,0.941,0.07,0
01653,"nutmeg, mace, cardamoms, raw",Spices,RoW,0.059,0.07,0
0117,Oats,"Cereals, incl feed",IT,0.882,0.045,0
0117,Oats,"Cereals, incl feed",RoW,0.118,0.045,0
01491.02,Oil palm seeds,"Oil crops, tree",IT,0.582,0.06,0
01491.02,Oil palm seeds,"Oil crops, tree",RoW,0.418,0.06,0
01450,Olives,"Oil crops, tree",IT,0.697,0.06,0
01450,Olives,"Oil crops, tree",ES,0.158,0.06,0
01450,Olives,"Oil crops, tree",RoW,0.145,0.06,0
01253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,IT,0.811,0.07,0
01253.02,"Onions and shallots, dry (excluding dehydrated)",Vegetables,RoW,0.189,0.07,0
