SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,AU,0.111,0.06,0
01371,"Almonds, in shell",Nuts,ES,0.26,0.06,0
01371,"Almonds, in shell",Nuts,US,0.564,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.065,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,IN,0.101,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,LT,0.136,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RU,0.379,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,UA,0.254,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.13,0.07,0
01341,Apples,Fruits,RoW,1,0.07,0
01343,Apricots,Fruits,TR,0.686,0.07,0
01343,Apricots,Fruits,RoW,0.314,0.07,0
01379.01,Areca nuts,Nuts,RoW,1,0.06,0
01216,Artichokes,Vegetables,FR,0.415,0.07,0
01216,Artichokes,Vegetables,GR,0.561,0.07,0
01216,Artichokes,Vegetables,RoW,0.024,0.07,0
01211,Asparagus,Vegetables,RoW,1,0.07,0
01311,Avocados,Vegetables,CL,0.169,0.07,0
01311,Avocados,Vegetables,IL,0.146,0.07,0
01311,Avocados,Vegetables,PE,0.279,0.07,0
01311,Avocados,Vegetables,ZA,0.152,0.07,0
01311,Avocados,Vegetables,ES,0.158,0.07,0
01311,Avocados,Vegetables,RoW,0.095,0.07,0
01312,Bananas,Fruits,CO,0.276,0.07,0
01312,Bananas,Fruits,CR,0.15,0.07,0
01312,Bananas,Fruits,EC,0.337,0.07,0
01312,Bananas,Fruits,RoW,0.237,0.07,0
0115,"Barley, average","Cereals, incl feed",RoW,1,0.045,0
01701,"Beans, dry",Pulses,RoW,1,0.06,0
01355.01,Blueberries,Berries,RoW,1,0.07,0
01377,"Brazil nuts, in shell",Nuts,AU,0.111,0.06,0
01377,"Brazil nuts, in shell",Nuts,ES,0.26,0.06,0
01377,"Brazil nuts, in shell",Nuts,US,0.564,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.065,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,1,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,1,0.07,0
01192,Buckwheat,Seeds,PL,0.939,0.06,0
01192,Buckwheat,Seeds,RoW,0.061,0.06,0
01212,Cabbages,Vegetables,RoW,1,0.07,0
01195,Canary seed,Nuts,CA,0.689,0.06,0
01195,Canary seed,Nuts,HU,0.262,0.06,0
01195,Canary seed,Nuts,RoW,0.049,0.06,0
01229,Cantaloupes and other melons,Fruits,BR,0.171,0.07,0
01229,Cantaloupes and other melons,Fruits,ES,0.482,0.07,0
01229,Cantaloupes and other melons,Fruits,UA,0.105,0.07,0
01229,Cantaloupes and other melons,Fruits,RoW,0.242,0.07,0
01251,Carrots and turnips,Vegetables,RoW,1,0.07,0
01372,"Cashew nuts, in shell",Nuts,IN,0.36,0.06,0
01372,"Cashew nuts, in shell",Nuts,CI,0.238,0.06,0
01372,"Cashew nuts, in shell",Nuts,RoW,0.402,0.06,0
01520.01,"Cassava, fresh",Vegetables,CR,0.269,0.07,0
