SUA Code,SUA Name,Category,Producer Country,Share,Waste,Organic
01371,"Almonds, in shell",Nuts,AU,0.135,0.06,0
01371,"Almonds, in shell",Nuts,US,0.756,0.06,0
01371,"Almonds, in shell",Nuts,RoW,0.11,0.06,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,IN,0.259,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,SY,0.123,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,TR,0.359,0.07,0
01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",Vegetables,RoW,0.259,0.07,0
01341,Apples,Fruits,IT,0.206,0.07,0
01341,Apples,Fruits,SE,0.15,0.07,0
01341,Apples,Fruits,RoW,0.643,0.07,0
01343,Apricots,Fruits,TR,0.842,0.07,0
01343,Apricots,Fruits,RoW,0.158,0.07,0
01379.01,Areca nuts,Nuts,IN,0.97,0.06,0
01379.01,Areca nuts,Nuts,RoW,0.03,0.06,0
01216,Artichokes,Vegetables,ES,0.943,0.07,0
01216,Artichokes,Vegetables,RoW,0.057,0.07,0
01211,Asparagus,Vegetables,DE,0.112,0.07,0
01211,Asparagus,Vegetables,IT,0.192,0.07,0
01211,Asparagus,Vegetables,NL,0.211,0.07,0
01211,Asparagus,Vegetables,PE,0.24,0.07,0
01211,Asparagus,Vegetables,RoW,0.244,0.07,0
01311,Avocados,Vegetables,CL,0.196,0.07,0
01311,Avocados,Vegetables,IL,0.138,0.07,0
01311,Avocados,Vegetables,PE,0.297,0.07,0
01311,Avocados,Vegetables,ZA,0.175,0.07,0
01311,Avocados,Vegetables,RoW,0.194,0.07,0
01312,Bananas,Fruits,CO,0.175,0.07,0
01312,Bananas,Fruits,CR,0.384,0.07,0
01312,Bananas,Fruits,EC,0.255,0.07,0
01312,Bananas,Fruits,PA,0.114,0.07,0
01312,Bananas,Fruits,RoW,0.071,0.07,0
0115,"Barley, average","Cereals, incl feed",SE,0.966,0.045,0
0115,"Barley, average","Cereals, incl feed",RoW,0.034,0.045,0
01701,"Beans, dry",Pulses,KG,0.109,0.06,0
01701,"Beans, dry",Pulses,US,0.12,0.06,0
01701,"Beans, dry",Pulses,RoW,0.771,0.06,0
01355.01,Blueberries,Berries,RoW,1,0.07,0
01377,"Brazil nuts, in shell",Nuts,AU,0.135,0.06,0
01377,"Brazil nuts, in shell",Nuts,US,0.756,0.06,0
01377,"Brazil nuts, in shell",Nuts,RoW,0.11,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",SE,0.996,0.06,0
01702,"Broad beans and horse beans, dry","Pulses, incl feed",RoW,0.004,0.06,0
01243,"Broad beans and horse beans, green",Vegetables,SE,0.996,0.07,0
01243,"Broad beans and horse beans, green",Vegetables,RoW,0.004,0.07,0
01192,Buckwheat,Seeds,LT,0.117,0.06,0
01192,Buckwheat,Seeds,PL,0.613,0.06,0
01192,Buckwheat,Seeds,RoW,0.269,0.06,0
01212,Cabbages,Vegetables,DE,0.396,0.07,0
01212,Cabbages,Vegetables,SE,0.365,0.07,0
01212,Cabbages,Vegetables,RoW,0.239,0.07,0
01195,Canary seed,Nuts,CA,0.998,0.06,0
01195,Canary seed,Nuts,RoW,0.002,0.06,0
01229,Cantaloupes and other melons,Fruits,BR,0.208,0.07,0
01229,Cantaloupes and other melons,Fruits,ES,0.63,0.07,0
01229,Cantaloupes and other melons,Fruits,RoW,0.162,0.07,0
01251,Carrots and turnips,Vegetables,SE,0.929,0.07,0
01251,Carrots and turnips,Vegetables,RoW,0.071,0.07,0
01372,"Cashew nuts, in shell",Nuts,GH,0.102,0.06,0
01372,"Cashew nuts, in shell",Nuts,IN,0.224,0.06,0
01372,"Cashew nuts, in shell",Nuts,CI,0.27,0.06,0
01372,"Cashew nuts, in shell",Nuts,TZ,0.167,0.06,0
01372,"Cashew nuts, in shell",Nuts,RoW,0.237,0.06,0
01520.01,"Cassava, fresh",Vegetables,TH,0.929,0.07,0
01520.01,"Cassava, fresh",Vegetables,RoW,0.071,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,BR,0.208,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,ES,0.63,0.07,0
01213,"Cauliflowers and broccoli, average",Vegetables,RoW,0.162,0.07,0
01199.90,Cereals n.e.c.,Cereals,SE,1,0.045,0
01344.02,Cherries,Berries,AT,0.115,0.07,0
01344.02,Cherries,Berries,SE,0.23,0.07,0
01344.02,Cherries,Berries,TR,0.395,0.07,0
01344.02,Cherries,Berries,RoW,0.26,0.07,0
01373,"Chestnuts, in shell",Nuts,CN,0.82,0.06,0
01373,"Chestnuts, in shell",Nuts,RoW,0.18,0.06,0
01703,"Chick peas, dry",Pulses,AR,0.129,0.06,0
01703,"Chick peas, dry",Pulses,CA,0.107,0.06,0
01703,"Chick peas, dry",Pulses,IN,0.156,0.06,0
01703,"Chick peas, dry",Pulses,TR,0.312,0.06,0
01703,"Chick peas, dry",Pulses,US,0.118,0.06,0
01703,"Chick peas, dry",Pulses,RoW,0.178,0.06,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,NL,0.457,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,ES,0.365,0.07,0
01231,"chillies and peppers, green (capsicum spp. and pimenta spp.)",Spices,RoW,0.178,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,NL,0.457,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,ES,0.365,0.07,0
01652,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.), raw",Spices,RoW,0.178,0.07,0
01640,Cocoa beans,Stimulants,CM,0.11,0.07,0
01640,Cocoa beans,Stimulants,GH,0.236,0.07,0
01640,Cocoa beans,Stimulants,CI,0.435,0.07,0
01640,Cocoa beans,Stimulants,NG,0.118,0.07,0
01640,Cocoa beans,Stimulants,RoW,0.102,0.07,0
01460,"Coconut, in shell",Nuts,ID,0.177,0.06,0
01460,"Coconut, in shell",Nuts,PH,0.718,0.06,0
01460,"Coconut, in shell",Nuts,RoW,0.105,0.06,0
01610,"Coffee, green",Stimulants,BR,0.433,0.07,0
01610,"Coffee, green",Stimulants,PE,0.111,0.07,0
01610,"Coffee, green",Stimulants,RoW,0.456,0.07,0
01355.02,Cranberries,Berries,CA,0.152,0.07,0
01355.02,Cranberries,Berries,CL,0.678,0.07,0
01355.02,Cranberries,Berries,US,0.147,0.07,0
01355.02,Cranberries,Berries,RoW,0.024,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,NL,0.135,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,ES,0.294,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,SE,0.541,0.07,0
01232,"Cucumbers and gherkins, averrage",Vegetables,RoW,0.03,0.07,0
01351.01,Currants,Berries,SE,0.856,0.07,0
01351.01,Currants,Berries,RoW,0.144,0.07,0
01314,Dates,Fruits,IR,0.542,0.07,0
01314,Dates,Fruits,SA,0.108,0.07,0
01314,Dates,Fruits,TN,0.18,0.07,0
01314,Dates,Fruits,RoW,0.17,0.07,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,CN,0.612,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,TH,0.104,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,TG,0.105,0.24,0
01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",Roots,RoW,0.18,0.24,0
01233,Eggplants (aubergines),Vegetables,NL,0.537,0.07,0
01233,Eggplants (aubergines),Vegetables,ES,0.403,0.07,0
01233,Eggplants (aubergines),Vegetables,RoW,0.06,0.07,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,PL,0.279,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,ES,0.242,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,GB,0.293,0.017,0
0232,"eggs from other birds in shell, fresh, n.e.c.",Dairy,RoW,0.186,0.017,0
01315,Figs,Fruits,TR,0.867,0.07,0
01315,Figs,Fruits,RoW,0.133,0.07,0
01193,Fonio,Cereals,RoW,1,0.045,0
21170.02,"game meat, fresh, chilled or frozen",Meat,SE,0.944,0.057,0
21170.02,"game meat, fresh, chilled or frozen",Meat,RoW,0.056,0.057,0
01351.02,Gooseberries,Berries,RoW,1,0.07,0
01330,Grapes,Fruits,FR,0.104,0.07,0
01330,Grapes,Fruits,IT,0.207,0.07,0
01330,Grapes,Fruits,ZA,0.14,0.07,0
01330,Grapes,Fruits,ES,0.127,0.07,0
01330,Grapes,Fruits,US,0.12,0.07,0
01330,Grapes,Fruits,RoW,0.303,0.07,0
01290.01,Green corn (maize),Vegetables,FR,0.294,0.07,0
01290.01,Green corn (maize),Vegetables,HU,0.312,0.07,0
01290.01,Green corn (maize),Vegetables,TH,0.158,0.07,0
01290.01,Green corn (maize),Vegetables,US,0.167,0.07,0
01290.01,Green corn (maize),Vegetables,RoW,0.069,0.07,0
01252,Green garlic,Vegetables,ES,0.457,0.07,0
01252,Green garlic,Vegetables,RoW,0.543,0.07,0
0142,"Groundnuts, excluding shelled",Nuts,AU,0.135,0.06,0
0142,"Groundnuts, excluding shelled",Nuts,US,0.756,0.06,0
