"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.01","Grains and grain-based products","Germany","DE",0.02,0.25
"A.01.01","Grains as crops","Germany","DE",0.02,0.25
"A.01.02","Grains for human consumption","Germany","DE",0.02,0.25
"A.01.03","Grain milling products","Germany","DE",0.02,0.25
"A.01.04","Bread and rolls","Germany","DE",0.02,0.25
"A.01.05","Pasta (Raw)","Germany","DE",0.02,0.25
"A.01.06","Breakfast cereals","Germany","DE",0.02,0.25
"A.01.07","Fine bakery wares","Germany","DE",0.02,0.25
"A.02","Vegetables and vegetable products (including fungi)","Germany","DE",0.1,0.19
"A.02.01","Root vegetables","Germany","DE",0.1,0.19
"A.02.02","Bulb vegetables","Germany","DE",0.1,0.19
"A.02.03","Fruiting vegetables","Germany","DE",0.1,0.19
"A.02.04","Brassica vegetables","Germany","DE",0.1,0.19
"A.02.05","Leaf vegetables","Germany","DE",0.1,0.19
"A.02.06","Legume vegetables","Germany","DE",0.1,0.19
"A.02.07","Stem vegetables (Fresh)","Germany","DE",0.1,0.19
"A.02.08","Sugar plants","Germany","DE",0.1,0.19
"A.02.09","Sea weeds","Germany","DE",0.09,0.11
"A.02.10","Tea and herbs for infusions (Solid)","Germany","DE",0.01,0.04
"A.02.11","Cocoa beans and cocoa products","Germany","DE",0.01,0.04
"A.02.12","Coffee beans and coffee products (Solid)","Germany","DE",0.01,0.04
"A.02.13","Coffee imitates (Solid)","Germany","DE",0.01,0.04
"A.02.14","Vegetable products","Germany","DE",0.1,0.19
"A.02.15","Fungi, cultivated","Germany","DE",0.1,0.19
"A.02.16","Fungi, wild, edible","Germany","DE",0.1,0.19
"A.03","Starchy roots and tubers","Germany","DE",0.07,0.17
"A.03.01","Potatoes and potatoes products","Germany","DE",0.07,0.17
"A.03.02","Other starchy roots and tubers","Germany","DE",0.07,0.17
"A.04","Legumes, nuts and oilseeds","Germany","DE",0.01,0.04
"A.04.01","Legumes, beans, green, without pods","Germany","DE",0.01,0.04
"A.04.02","Legumes, beans, dried","Germany","DE",0.01,0.04
"A.04.03","Tree nuts","Germany","DE",0.01,0.04
"A.04.04","Oilseeds","Germany","DE",0.01,0.04
"A.04.05","Other seeds","Germany","DE",0.01,0.04
"A.05","Fruit and fruit products","Germany","DE",0.1,0.19
