"Food code (level 2)","Food name (level 2)","Country ","Country code","Retail waste","Consumer waste"
"A.01","Grains and grain-based products","Greece","GR",0.02,0.25
"A.01.01","Grains as crops","Greece","GR",0.02,0.25
"A.01.02","Grains for human consumption","Greece","GR",0.02,0.25
"A.01.03","Grain milling products","Greece","GR",0.02,0.25
"A.01.04","Bread and rolls","Greece","GR",0.02,0.25
"A.01.05","Pasta (Raw)","Greece","GR",0.02,0.25
"A.01.06","Breakfast cereals","Greece","GR",0.02,0.25
"A.01.07","Fine bakery wares","Greece","GR",0.02,0.25
"A.02","Vegetables and vegetable products (including fungi)","Greece","GR",0.1,0.19
"A.02.01","Root vegetables","Greece","GR",0.1,0.19
"A.02.02","Bulb vegetables","Greece","GR",0.1,0.19
"A.02.03","Fruiting vegetables","Greece","GR",0.1,0.19
"A.02.04","Brassica vegetables","Greece","GR",0.1,0.19
"A.02.05","Leaf vegetables","Greece","GR",0.1,0.19
"A.02.06","Legume vegetables","Greece","GR",0.1,0.19
"A.02.07","Stem vegetables (Fresh)","Greece","GR",0.1,0.19
"A.02.08","Sugar plants","Greece","GR",0.1,0.19
"A.02.09","Sea weeds","Greece","GR",0.09,0.11
"A.02.10","Tea and herbs for infusions (Solid)","Greece","GR",0.01,0.04
"A.02.11","Cocoa beans and cocoa products","Greece","GR",0.01,0.04
"A.02.12","Coffee beans and coffee products (Solid)","Greece","GR",0.01,0.04
"A.02.13","Coffee imitates (Solid)","Greece","GR",0.01,0.04
"A.02.14","Vegetable products","Greece","GR",0.1,0.19
"A.02.15","Fungi, cultivated","Greece","GR",0.1,0.19
"A.02.16","Fungi, wild, edible","Greece","GR",0.1,0.19
"A.03","Starchy roots and tubers","Greece","GR",0.07,0.17
"A.03.01","Potatoes and potatoes products","Greece","GR",0.07,0.17
"A.03.02","Other starchy roots and tubers","Greece","GR",0.07,0.17
"A.04","Legumes, nuts and oilseeds","Greece","GR",0.01,0.04
"A.04.01","Legumes, beans, green, without pods","Greece","GR",0.01,0.04
"A.04.02","Legumes, beans, dried","Greece","GR",0.01,0.04
"A.04.03","Tree nuts","Greece","GR",0.01,0.04
"A.04.04","Oilseeds","Greece","GR",0.01,0.04
"A.04.05","Other seeds","Greece","GR",0.01,0.04
"A.05","Fruit and fruit products","Greece","GR",0.1,0.19
"A.05.01","Citrus fruits","Greece","GR",0.1,0.19
"A.05.02","Pome fruits","Greece","GR",0.1,0.19
"A.05.03","Stone fruits","Greece","GR",0.1,0.19
"A.05.04","Berries and small fruits","Greece","GR",0.1,0.19
"A.05.05","Oilfruits","Greece","GR",0.1,0.19
"A.05.06","Miscellaneous fruits","Greece","GR",0.1,0.19
"A.05.07","Dried fruits","Greece","GR",0.1,0.19
"A.05.08","Jam, marmalade and other fruit spreads","Greece","GR",0.1,0.19
"A.05.09","Other fruit products (excluding beverages)","Greece","GR",0.1,0.19
"A.06","Meat and meat products (including edible offal)","Greece","GR",0.04,0.11
"A.06.01","Livestock meat","Greece","GR",0.04,0.11
"A.06.02","Poultry","Greece","GR",0.04,0.11
"A.06.03","Game mammals","Greece","GR",0.04,0.11
"A.06.04","Game birds","Greece","GR",0.04,0.11
"A.06.05","Mixed meat","Greece","GR",0.04,0.11
"A.06.06","Edible offal, farmed animals","Greece","GR",0.04,0.11
"A.06.07","Edible offal, game animals","Greece","GR",0.04,0.11
"A.06.08","Preserved meat","Greece","GR",0.04,0.11
"A.06.09","Sausages","Greece","GR",0.04,0.11
"A.06.10","Meat specialities","Greece","GR",0.04,0.11
"A.06.11","Pastes, pâtés and terrines","Greece","GR",0.04,0.11
"A.06.12","Meat imitates","Greece","GR",0.04,0.11
"A.07","Fish and other seafood (including amphibians, reptiles, snails and insects)","Greece","GR",0.09,0.11
"A.07.01","Fish meat","Greece","GR",0.09,0.11
"A.07.02","Fish products","Greece","GR",0.09,0.11
"A.07.03","Fish offal","Greece","GR",0.09,0.11
"A.07.04","Crustaceans","Greece","GR",0.09,0.11
"A.07.05","Water molluscs","Greece","GR",0.09,0.11
"A.07.06","Amphibians, reptiles, snails, insects","Greece","GR",0.09,0.11
"A.08","Milk and dairy products","Greece","GR",0.005,0.07
"A.08.01","Liquid milk","Greece","GR",0.005,0.07
"A.08.02","Milk based beverages","Greece","GR",0.005,0.07
"A.08.03","Concentrated milk","Greece","GR",0.005,0.07
"A.08.04","Whey and whey products (excluding whey cheese)","Greece","GR",0.005,0.07
"A.08.05","Cream and cream products","Greece","GR",0.005,0.07
"A.08.06","Fermented milk products","Greece","GR",0.005,0.07
"A.08.07","Milk derivatives","Greece","GR",0.005,0.07
"A.08.08","Cheese","Greece","GR",0.005,0.07
"A.08.09","Milk and milk product imitates","Greece","GR",0.005,0.07
"A.09","Eggs and egg products","Greece","GR",0.005,0.07
"A.09.01","Eggs, fresh","Greece","GR",0.005,0.07
"A.09.02","Eggs, powder","Greece","GR",0.005,0.07
"A.10","Sugar and confectionary","Greece","GR",0.01,0.04
"A.10.01","Sugars","Greece","GR",0.01,0.04
"A.10.02","Sugar substitutes","Greece","GR",0.01,0.04
"A.10.03","Chocolate (Cocoa) products","Greece","GR",0.01,0.04
"A.10.04","Confectionery (non-chocolate)","Greece","GR",0.01,0.04
"A.10.05","Dessert sauces","Greece","GR",0.01,0.04
"A.10.06","Molasses and other syrups","Greece","GR",0.01,0.04
"A.10.07","Honey","Greece","GR",0.01,0.04
"A.11","Animal and vegetable fats and oils","Greece","GR",0.01,0.04
"A.11.01","Animal fat","Greece","GR",0.04,0.11
"A.11.02","Fish oil","Greece","GR",0.09,0.11
"A.11.03","Vegetable fat","Greece","GR",0.01,0.04
"A.11.04","Vegetable oil","Greece","GR",0.01,0.04
"A.11.05","Fats of mixed origin","Greece","GR",0.01,0.04
"A.11.06","Margarine and similar products","Greece","GR",0.01,0.04
"A.12","Fruit and vegetable juices","Greece","GR",0.1,0.19
"A.12.01","Fruit juice","Greece","GR",0.1,0.19
"A.12.02","Concentrated fruit juice","Greece","GR",0.1,0.19
"A.12.03","Fruit nectar","Greece","GR",0.1,0.19
"A.12.04","Mixed fruit juice","Greece","GR",0.1,0.19
"A.12.05","Dehydrated/powdered fruit juice","Greece","GR",0.1,0.19
"A.12.06","Vegetable juice","Greece","GR",0.1,0.19
"A.12.07","Mixed vegetable juice","Greece","GR",0.1,0.19
"A.12.08","Mixed fruit and vegetable juice","Greece","GR",0.1,0.19
"A.13","Non-alcoholic beverages (excepting milk based beverages)","Greece","GR",0.01,0.04
"A.13.01","Soft drinks","Greece","GR",0.01,0.04
"A.13.02","Tea (Infusion)","Greece","GR",0.01,0.04
"A.13.03","Coffee (Beverage)","Greece","GR",0.01,0.04
"A.13.04","Coffee imitates beverage","Greece","GR",0.01,0.04
"A.13.05","Cocoa beverage","Greece","GR",0.01,0.04
"A.14","Alcoholic beverages","Greece","GR",0.01,0.04
"A.14.01","Beer and beer-like beverage","Greece","GR",0.01,0.04
"A.14.02","Wine","Greece","GR",0.01,0.04
"A.14.03","Fortified and liqueur wines (e.g. Vermouth, Sherry, Madeira)","Greece","GR",0.01,0.04
"A.14.04","Wine-like drinks (e.g. Cider, Perry)","Greece","GR",0.01,0.04
"A.14.05","Liqueur","Greece","GR",0.01,0.04
"A.14.06","Spirits","Greece","GR",0.01,0.04
"A.14.07","Alcoholic mixed drinks","Greece","GR",0.01,0.04
"A.15","Drinking water (water without any additives except carbon dioxide; includes water ice for consumption)","Greece","GR",0,0
"A.15.01","Tap water","Greece","GR",0,0
"A.15.02","Well water","Greece","GR",0,0
"A.15.03","Bottled water","Greece","GR",0,0
"A.15.04","Water ice (for consumption)","Greece","GR",0,0
"A.16","Herbs, spices and condiments","Greece","GR",0.01,0.04
"A.16.01","Herbs","Greece","GR",0.01,0.04
"A.16.02","Spices","Greece","GR",0.01,0.04
"A.16.03","Herb and spice mixtures","Greece","GR",0.01,0.04
"A.16.04","Seasoning or extracts","Greece","GR",0.01,0.04
"A.16.05","Condiment","Greece","GR",0.01,0.04
"A.16.06","Dressing","Greece","GR",0.01,0.04
"A.16.07","Chutney and pickles","Greece","GR",0.01,0.04
"A.16.08","Savoury sauces","Greece","GR",0.01,0.04
"A.16.09","Flavourings or essences","Greece","GR",0.01,0.04
"A.16.10","Baking ingredients","Greece","GR",0.01,0.04
"A.17","Food for infants and small children","Greece","GR",0.04,0.11
"A.17.01","Infant formulae, powder","Greece","GR",0.04,0.11
"A.17.02","Infant formulae, liquid","Greece","GR",0.04,0.11
"A.17.03","Follow-on formulae, powder","Greece","GR",0.04,0.11
"A.17.04","Follow-on formulae, liquid","Greece","GR",0.04,0.11
"A.17.05","Cereal-based food for infants and young children","Greece","GR",0.04,0.11
"A.17.06","Ready-to-eat meal for infants and young children","Greece","GR",0.04,0.11
"A.17.07","Yoghurt, cheese and milk-based dessert for infants and young children","Greece","GR",0.005,0.07
"A.17.08","Fruit juice and herbal tea for infants and young children","Greece","GR",0.01,0.04
"A.18","Products for special nutritional use","Greece","GR",0.04,0.11
"A.18.01","Food for weight reduction","Greece","GR",0.04,0.11
"A.18.02","Dietary supplements","Greece","GR",0.04,0.11
"A.18.03","Food for sports people (labelled as such)","Greece","GR",0.04,0.11
"A.18.04","Dietetic food for diabetics (labelled as such)","Greece","GR",0.04,0.11
"A.18.05","Medical food (are specially formulated and intended for the dietary management of a disease that has distinctive nutritional needs that cannot be met by normal diet alone; intended to be used under medical supervision)","Greece","GR",0.04,0.11
"A.19","Composite food (including frozen products)","Greece","GR",0.04,0.11
"A.19.01","Cereal-based dishes","Greece","GR",0.04,0.11
"A.19.02","Rice-based meals","Greece","GR",0.04,0.11
"A.19.03","Potato based dishes","Greece","GR",0.04,0.11
"A.19.04","Beans-based meals","Greece","GR",0.04,0.11
"A.19.05","Meat-based meals","Greece","GR",0.04,0.11
"A.19.06","Fish and seafood based meals","Greece","GR",0.04,0.11
"A.19.07","Vegetable-based meals","Greece","GR",0.04,0.11
"A.19.08","Egg-based meal (e.g., omelette)","Greece","GR",0.04,0.11
"A.19.09","Mushroom-based meals","Greece","GR",0.04,0.11
"A.19.10","Ready to eat soups","Greece","GR",0.04,0.11
"A.19.11","Prepared salads","Greece","GR",0.04,0.11
"A.20","Snacks, desserts, and other foods","Greece","GR",0.04,0.11
"A.20.01","Snack food","Greece","GR",0.04,0.11
"A.20.02","Ices and desserts","Greece","GR",0.04,0.11
"A.20.03","Other foods (foods which cannot be included in any other group)","Greece","GR",0.04,0.11
"A.13.06","Energy drink","Greece","GR",0.01,0.04
